6:Donets'k
1983,41, 0.190,285.68, 57.71, 58.15, 57.93,
1983,42, 0.169,282.81, 55.43, 55.27, 55.35,
1983,43, 0.142,279.95, 50.68, 49.89, 50.28,
1983,44, 0.111,276.68, 41.30, 46.91, 44.11,
1983,45, 0.086,272.90, 34.13, 47.85, 40.99,
1983,46, 0.070,269.33, 30.66, 47.17, 38.91,
1983,47, 0.058,266.54, 28.12, 45.51, 36.81,
1983,48, 0.051,264.72, 27.90, 40.77, 34.33,
1983,49, 0.045,263.37, 25.57, 35.42, 30.49,
1983,50, 0.044,261.88, 28.62, 32.57, 30.60,
1983,51, 0.045,260.36, 36.01, 35.36, 35.68,
1983,52, 0.043,258.49, 42.69, 42.35, 42.52,
